what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544419242
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544419258
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544423149
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544424524
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544424539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544426680
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544439149
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544439164
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544443414
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322544443430
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544443649
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544462711
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544470211
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544520633
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544520633
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544538649
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1322544542633
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1322544544820
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322544546227
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544546445
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544569524
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544576274
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544576274
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544579492
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544580805
