what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.frameworks,1.1.300.v200904132230,"org.eclipse.jst.common.frameworks",1322115504640
started,bundle,org.eclipse.jst.jsf.ui,1.2.0.v20090427,"org.eclipse.jst.jsf.ui",1322115504734
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1322115504812
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322115536171
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1322115540359
opened,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322115540828
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322115541125
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1322115549687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322115550296
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322115550328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322115560296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322115562453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322115562468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116281484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116306218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322116306234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116311328
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1322116313515
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1322116324734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116334437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116414218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116415406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322116611781
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322116612562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322117626484
