what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322538236945
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322538241867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322538852399
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322538866539
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1322538866649
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322539468383
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322540062336
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540062383
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322540570930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322540571149
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322540579602
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540579602
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540579649
closed,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540579649
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322540582867
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1322540585195
opened,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540586461
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322540586586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322541304383
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322541958352
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1322541958430
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322543131477
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322543713039
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322543713305
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322543724414
