what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544588555
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544588602
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544592992
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544593117
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544593774
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544594539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544597211
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544597383
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544616070
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544629195
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544633008
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544633117
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544637649
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544641961
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544645117
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322544645133
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544660305
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322544660320
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544675242
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544676133
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322544676133
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544676992
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544682649
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544684524
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322544685914
